City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
Banda Aceh,ID,5.5577,95.3222,81.3,74,100,10.16,1619274500
Norman Wells,CA,65.282,-126.8329,24.8,68,75,3.44,1619274544
Kenai,US,60.5544,-151.2583,27.82,86,1,2.46,1619274545
Fare,PF,-16.7,-151.0167,79.45,73,100,6.42,1619274545
Brazzaville,CG,-4.2658,15.2832,89.6,48,40,8.05,1619274545
Aklavik,CA,68.2191,-135.0107,23.0,86,75,3.44,1619274545
Batemans Bay,AU,-35.7167,150.1833,48.18,86,89,1.99,1619274545
Salamiyah,SY,35.0113,37.0532,90.01,16,47,16.62,1619274545
Los Llanos de Aridane,ES,28.6585,-17.9182,66.96,60,40,9.22,1619274546
Giddalūr,IN,15.35,78.9167,90.99,42,96,9.04,1619274546
Burgeo,CA,47.6167,-57.6152,36.68,95,100,15.7,1619274546
São Filipe,CV,14.8961,-24.4956,72.21,74,45,11.86,1619274546
Vila Velha,BR,-20.3297,-40.2925,80.29,69,40,9.22,1619274546
Vitim,RU,59.4511,112.5578,24.51,97,100,1.45,1619274546
Bengkulu,ID,-3.8004,102.2655,78.4,82,100,4.74,1619274521
Houston,US,29.7633,-95.3633,75.27,83,1,9.22,1619274321
Aykhal,RU,66.0,111.5,22.41,94,85,8.9,1619274547
Loukhi,RU,66.0764,33.0381,39.67,88,100,8.46,1619274547
Albacete,ES,38.8333,-2.0,57.2,67,75,10.36,1619274547
Port Elizabeth,ZA,-33.918,25.5701,68.0,68,0,4.61,1619274547
Smoky Lake,CA,54.1169,-112.4686,25.39,63,99,3.44,1619274547
Yulara,AU,-25.2406,130.9889,59.0,47,59,5.75,1619274547
Nhulunbuy,AU,-12.2333,136.7667,80.6,74,26,10.36,1619274547
Avarua,CK,-21.2078,-159.775,77.0,83,98,12.66,1619274548
Dingle,PH,10.9995,122.6711,78.08,81,71,3.38,1619274548
Grindavik,IS,63.8424,-22.4338,46.4,87,90,24.16,1619274548
Taltal,CL,-25.4,-70.4833,63.63,73,0,2.68,1619274548
Hilo,US,19.7297,-155.09,66.0,83,90,5.75,1619274548
Aksha,RU,50.2814,113.2867,45.39,18,100,5.08,1619274548
Nyurba,RU,63.2842,118.3319,30.49,93,29,7.45,1619274549
Marshall,US,34.3834,-86.3333,53.87,100,90,3.44,1619274549
Hermanus,ZA,-34.4187,19.2345,75.0,58,95,3.0,1619274549
Bilibino,RU,68.0546,166.4372,22.19,94,100,1.86,1619274549
Nago,JP,26.5881,127.9761,68.0,77,90,13.8,1619274449
Thanh Hoa,VN,19.8,105.7667,78.98,93,82,3.83,1619274531
Tatarskaya Pishlya,RU,54.0608,44.8998,54.57,67,100,13.06,1619274550
Vardø,NO,70.3705,31.1107,33.8,80,75,20.71,1619274550
Tuatapere,NZ,-46.1333,167.6833,44.01,91,87,1.99,1619274550
Airai,TL,-8.9266,125.4092,58.39,91,55,1.99,1619274550
Una,IN,20.8167,71.0333,84.65,60,100,13.98,1619274550
Koslan,RU,63.4564,48.8989,55.58,43,63,9.73,1619274550
Bétérou,BJ,9.1992,2.2586,100.96,28,100,2.39,1619274551
Līsakovsk,KZ,52.5369,62.4936,50.74,43,100,15.88,1619274551
Āsosa,ET,10.0667,34.5333,69.28,65,100,3.74,1619274551
Assiniboia,CA,49.6334,-105.9845,32.0,37,13,5.75,1619274551
Quelimane,MZ,-17.8786,36.8883,82.2,65,20,8.05,1619274551
Port Macquarie,AU,-31.4333,152.9167,53.01,96,35,4.97,1619274551
Walvis Bay,NA,-22.9575,14.5053,68.58,53,32,12.66,1619274552
Hong Kong,HK,22.2855,114.1577,74.82,86,24,3.0,1619274289
Barra Patuca,HN,15.8,-84.2833,79.36,71,9,8.19,1619274552
Vendychany,UA,48.6118,27.7932,50.0,41,82,12.19,1619274552
Great Falls,US,47.5002,-111.3008,30.4,86,90,10.36,1619274490
Ribeira Grande,PT,38.5167,-28.7,60.8,67,75,17.27,1619274553
Departamento de Maldonado,UY,-34.6667,-54.9167,65.91,88,90,3.44,1619274553
Howard Springs,AU,-12.497,131.047,76.62,44,0,5.75,1619274553
Hofn,IS,64.2539,-15.2082,46.44,76,100,2.66,1619274553
Ruteng,ID,-8.6136,120.4721,62.22,93,28,0.96,1619274428
Suntar,RU,62.1444,117.6319,31.42,94,26,5.19,1619274553
Funadhoo,MV,6.15,73.2667,84.43,69,41,3.87,1619274554
Sibolga,ID,1.7427,98.7792,75.52,96,100,5.01,1619274554
Tezu,IN,27.9167,96.1667,76.98,32,61,5.28,1619274554
Yangi Marg`ilon,UZ,40.4272,71.7189,69.8,24,100,2.3,1619274554
Beaver Dam,US,43.4578,-88.8373,51.17,76,90,3.6,1619274554
Kruisfontein,ZA,-34.0033,24.7314,70.43,61,100,7.36,1619274554
Carnarvon,AU,-24.8667,113.6333,73.4,83,0,9.22,1619274294
Wajima,JP,37.4,136.9,55.44,83,100,7.7,1619274555
Alofi,NU,-19.0595,-169.9187,75.2,94,51,3.44,1619274555
Lavrentiya,RU,65.5833,-171.0,21.31,97,82,3.6,1619274555
Boguchany,RU,58.3814,97.4531,33.31,97,100,1.12,1619274555
Castro,BR,-24.7911,-50.0119,69.78,55,25,1.39,1619274555
Khovd,MN,48.0056,91.6419,31.75,18,1,16.75,1619274322
Coruripe,BR,-10.1256,-36.1756,82.98,72,30,10.47,1619274556
Hualmay,PE,-11.0964,-77.6139,67.98,82,21,7.31,1619274556
San Patricio,US,28.017,-97.5169,76.55,100,40,8.05,1619274556
Sterling,US,39.0062,-77.4286,59.04,36,1,1.14,1619274557
Saint George,US,37.1041,-113.5841,59.31,25,1,5.75,1619274557
Saldanha,ZA,-33.0117,17.9442,75.2,46,79,9.22,1619274557
Manicoré,BR,-5.8092,-61.3003,78.15,87,99,2.3,1619274557
Eureka,US,40.8021,-124.1637,48.07,94,100,6.22,1619274557
Porto Santo,PT,33.072,-16.3415,66.2,63,20,20.71,1619274557
Tabuk,PH,17.4189,121.4443,73.15,87,44,6.29,1619274558
Emmett,US,43.8735,-116.4993,51.03,44,100,4.0,1619274350
Saint-Philippe,RE,-21.3585,55.7679,74.97,88,90,24.16,1619274558
Talnakh,RU,69.4865,88.3972,33.21,98,100,8.1,1619274558
Helena,US,46.5927,-112.0361,35.62,70,90,0.45,1619274558
Vanino,RU,49.0869,140.2543,32.02,79,100,3.27,1619274558
Tuktoyaktuk,CA,69.4541,-133.0374,14.0,73,75,6.91,1619274558
Grantham,GB,52.9115,-0.6418,59.29,36,100,11.5,1619274545
Santa Rosa,PH,14.3122,121.1114,82.22,77,5,3.0,1619274559
Coolum Beach,AU,-26.5333,153.1,60.53,83,0,2.08,1619274559
Hambantota,LK,6.1241,81.1185,82.4,100,40,2.3,1619274559
Tiarei,PF,-17.5333,-149.3333,75.09,83,75,2.3,1619274559
San Bartolomé de Tirajana,ES,27.9248,-15.5733,70.99,73,75,5.75,1619274559
Thompson,CA,55.7435,-97.8558,19.4,45,75,2.3,1619274559
Ukiah,US,39.1502,-123.2078,47.3,81,90,4.61,1619274559
Geraldton,AU,-28.7667,114.6,66.2,88,2,6.91,1619274485
Nowe Miasto Lubawskie,PL,53.4208,19.5952,48.0,46,100,5.99,1619274560
Severo-Kuril'sk,RU,50.6789,156.125,35.71,94,100,4.83,1619274560
Hamilton,US,39.1834,-84.5333,51.6,62,90,8.05,1619274560
Iqaluit,CA,63.7506,-68.5145,33.39,86,75,13.8,1619274560
Aberdeen,GB,57.1437,-2.0981,51.48,57,5,9.22,1619274374
Dunedin,NZ,-45.8742,170.5036,50.0,82,18,5.99,1619274560
Bafra,TR,41.5678,35.9069,59.86,77,75,8.05,1619274560
Raja,SS,8.4596,25.678,98.62,21,100,4.16,1619274561
Ancud,CL,-41.8697,-73.8203,47.7,93,75,8.05,1619274561
Yarmouth,US,41.7057,-70.2286,58.6,34,1,3.44,1619274561
Flin Flon,CA,54.7682,-101.865,19.4,58,20,5.75,1619274561
Pitsunda,GE,43.1592,40.3378,54.73,82,90,11.18,1619274561
Xingcheng,CN,40.6167,120.7167,53.13,57,8,14.81,1619274561
Vágur,FO,61.4732,-6.8119,45.95,84,100,5.91,1619274561
Bambanglipuro,ID,-7.95,110.2833,77.32,79,2,3.85,1619274562
Bang Bo,TH,13.5743,100.8353,85.37,84,20,8.05,1619274562
Asău,RO,46.4333,26.4,57.99,21,90,3.15,1619274562
Gizo Government Station,SB,-8.103,156.8419,81.84,78,64,7.11,1619274562
Antofagasta,CL,-23.65,-70.4,67.78,68,20,3.44,1619274562
Manavgat,TR,36.7867,31.4431,78.8,36,0,4.61,1619274562
Maniitsoq,GL,65.4167,-52.9,38.53,66,0,2.21,1619274563
Rong Kwang,TH,18.339,100.3174,87.01,54,100,3.58,1619274563
Chernyshevskiy,RU,63.0128,112.4714,29.41,97,100,2.15,1619274563
Vallenar,CL,-28.5708,-70.7581,65.5,52,0,3.0,1619274563
Klaksvík,FO,62.2266,-6.589,51.8,54,83,3.44,1619274563
Babaeski,TR,41.4325,27.0931,54.84,81,100,8.23,1619274563
Mossamedes,AO,-15.1961,12.1522,84.07,69,93,11.83,1619274564
Ahipara,NZ,-35.1667,173.1667,60.03,86,71,9.19,1619274564
Margate,GB,51.3813,1.3862,51.69,63,11,4.0,1619274564
Kaoma,ZM,-14.7833,24.8,83.82,28,15,5.84,1619274565
Hirado,JP,33.3597,129.5531,60.84,66,40,3.0,1619274565
Mehamn,NO,71.0357,27.8492,34.66,71,100,9.33,1619274565
Mayna,RU,54.1135,47.6231,52.03,63,100,11.99,1619274565
Pangnirtung,CA,66.1451,-65.7125,28.4,80,40,2.3,1619274565
Havre-St-Pierre,CA,50.2334,-63.5986,41.0,70,40,17.27,1619274565
Codrington,AU,-38.2667,141.9667,51.51,87,100,5.77,1619274565
Ambilobe,MG,-13.2,49.05,81.12,75,49,1.88,1619274566
Iracoubo,GF,5.4802,-53.2011,77.52,89,100,11.41,1619274566
Cairns,AU,-16.9167,145.7667,73.71,100,75,10.36,1619274566
Port Pirie,AU,-33.1833,138.0167,60.8,77,0,8.05,1619274566
Isiro,CD,2.7739,27.616,75.81,86,100,4.47,1619274566
Hailar,CN,49.2,119.7,45.09,23,58,4.09,1619274567
Molteno,ZA,-31.3968,26.3625,67.48,12,0,9.89,1619274568
Malatya Province,TR,38.5,38.0,78.8,15,0,4.61,1619274568
Betsiamites,CA,48.9413,-68.646,43.77,53,20,8.05,1619274568
Acaraú,BR,-2.8856,-40.12,85.59,68,78,12.06,1619274568
Jalu,LY,29.0331,21.5482,102.97,6,12,11.32,1619274568
Laguna,US,38.421,-121.4238,50.92,71,90,5.75,1619274569
Road Town,VG,18.4167,-64.6167,82.85,61,40,12.66,1619274569
Ribas do Rio Pardo,BR,-20.4431,-53.7592,87.55,23,10,8.93,1619274569
Beringovskiy,RU,63.05,179.3167,21.85,98,91,3.67,1619274569
Carutapera,BR,-1.195,-46.02,83.93,75,89,4.25,1619274569
Tiksi,RU,71.6872,128.8694,27.01,94,100,10.85,1619274569
Popondetta,PG,-8.7537,148.2534,73.44,96,77,2.57,1619274569
Robertsport,LR,6.7533,-11.3686,84.15,70,53,8.66,1619274569
Tondano,ID,1.3038,124.9112,77.0,94,20,1.14,1619274570
Bull Savanna,JM,17.8868,-77.5902,78.49,62,6,4.59,1619274570
Quebrada Larga,HN,14.1,-86.3667,77.7,62,13,2.51,1619274570
Indi,IN,17.1667,75.9667,96.33,22,70,13.91,1619274570
Poum,NC,-20.2333,164.0167,78.58,79,96,14.09,1619274570
Meulaboh,ID,4.1363,96.1285,75.92,89,100,5.5,1619274570
Poronaysk,RU,49.2167,143.1167,31.84,92,100,5.7,1619274570
Bandarbeyla,SO,9.4942,50.8122,85.1,69,47,13.69,1619274570
Haines Junction,CA,60.7522,-137.5108,19.4,93,12,2.3,1619274571
Barinas,VE,8.6226,-70.2075,66.2,100,91,5.75,1619274571
Portland,US,45.5234,-122.6762,45.5,88,100,1.99,1619274571
Tucumcari,US,35.1717,-103.725,50.0,53,1,3.44,1619274571
Westport,US,41.1415,-73.3579,59.5,50,1,11.5,1619274571
Eilat,IL,29.5581,34.9482,96.8,17,0,16.11,1619274572
Andenes,NO,69.3143,16.1194,35.74,80,75,8.05,1619274572
Faanui,PF,-16.4833,-151.75,79.57,75,100,7.14,1619274572
Brae,GB,60.3964,-1.353,46.4,87,90,9.22,1619274572
Kuril'sk,RU,45.2333,147.8833,34.3,94,100,5.68,1619274572
Severobaykal'sk,RU,55.65,109.3167,33.42,72,100,3.85,1619274572
Pangody,RU,65.85,74.4859,33.8,89,100,8.41,1619274572
Erenhot,CN,43.6475,111.9767,60.17,28,100,21.12,1619274365
Abu Dhabi,AE,24.4667,54.3667,92.17,43,0,8.05,1619274573
Kushima,JP,31.4583,131.2333,59.81,81,54,6.53,1619274362
Praia,CV,14.9215,-23.5087,78.8,53,20,23.02,1619274573
Melilla,ES,35.2937,-2.9383,63.07,77,90,11.5,1619274573
Marrakesh,MA,31.6315,-8.0083,75.2,50,75,8.05,1619274573
Henties Bay,NA,-22.116,14.2845,63.0,87,5,10.0,1619274573
Olmos,PE,-5.9847,-79.7453,73.99,76,7,1.01,1619274573
Warrnambool,AU,-38.3833,142.4833,51.01,95,100,6.73,1619274543
Paramirim,BR,-13.4425,-42.2389,86.23,46,1,3.04,1619274574
Vao,NC,-22.6667,167.4833,76.19,67,100,9.33,1619274574
Ridgecrest,US,35.6225,-117.6709,58.73,29,1,5.48,1619274574
Newburn,GB,54.9876,-1.7442,51.82,62,40,9.22,1619274576
Soe,ID,-9.8607,124.284,64.8,94,30,4.07,1619274576
Zonguldak,TR,41.25,31.8333,54.1,76,100,5.99,1619274576
Tabou,CI,4.423,-7.3528,86.81,69,87,11.59,1619274576
Chapais,CA,49.7834,-74.8492,39.2,45,1,11.5,1619274576
Natal,BR,-5.795,-35.2094,86.94,62,40,12.66,1619274576
Bulgan,MN,48.8125,103.5347,32.85,98,100,7.31,1619274576
Bang Saphan,TH,11.2126,99.5117,79.43,84,100,5.19,1619274577
Teya,RU,60.3778,92.6267,34.48,97,100,1.3,1619274577
Adrar,MR,20.5022,-10.0711,97.39,9,0,9.15,1619274577
Chulym,RU,55.0997,80.9572,40.26,64,11,5.93,1619274577
Nabire,ID,-3.3667,135.4833,76.46,90,100,2.62,1619274577
Sangar,RU,63.9242,127.4739,10.92,96,70,3.71,1619274577
Umarkot,PK,25.3616,69.7362,99.72,9,55,9.64,1619274577
Oswego,US,43.4501,-76.1497,59.0,38,1,8.05,1619274578
Yar-Sale,RU,66.8333,70.8333,33.4,91,99,6.22,1619274578
Durango,MX,24.8333,-104.8333,55.29,22,37,1.81,1619274578
Cidreira,BR,-30.1811,-50.2056,73.87,67,53,11.83,1619274578
Flinders,AU,-34.5833,150.8552,52.57,80,28,1.01,1619274578
Mount Gambier,AU,-37.8333,140.7667,48.2,100,75,6.91,1619274578
Malanje,AO,-9.5402,16.341,75.2,94,90,6.91,1619274579
Riyadh,SA,24.6877,46.7219,99.73,9,0,6.91,1619274571
The Valley,AI,18.217,-63.0578,83.08,65,40,14.97,1619274579
Mokrousovo,RU,55.8103,66.7653,47.25,41,100,11.9,1619274580
Inhambane,MZ,-23.865,35.3833,80.6,54,20,9.26,1619274580
Salé,MA,34.0389,-6.8166,68.58,68,40,8.05,1619274580
Saurimo,AO,-9.6608,20.3916,77.0,69,75,5.61,1619274580
Genhe,CN,50.7833,121.5167,36.27,40,10,3.06,1619274580
Sungurlu,TR,40.1675,34.3739,69.24,35,78,3.51,1619274580
Vostok,RU,46.4856,135.8833,31.6,59,99,5.44,1619274580
Lata,PT,40.1629,-8.3327,65.08,88,75,9.22,1619274581
Mosquera,CO,4.7059,-74.2302,62.6,59,20,6.91,1619274581
Marsh Harbour,BS,26.5412,-77.0636,74.88,68,100,15.66,1619274581
Turukhansk,RU,65.8167,87.9833,34.56,98,94,11.86,1619274581
Skjervøy,NO,70.0311,20.9714,34.3,61,100,17.11,1619274581
Norrtälje,SE,59.758,18.705,39.4,56,40,12.66,1619274582
Makakilo City,US,21.3469,-158.0858,71.15,68,1,5.75,1619274582
Isil'kul',RU,54.9109,71.2728,48.49,32,100,10.83,1619274582
Mount Isa,AU,-20.7333,139.5,77.0,27,40,12.66,1619274582
Distrikt Brokopondo,SR,4.75,-55.1667,77.31,90,100,2.75,1619274583
Worland,US,44.0169,-107.9554,35.22,80,1,5.75,1619274583
Avera,US,33.194,-82.5271,57.72,96,90,9.22,1619274583
Hervey Bay,AU,-25.2986,152.8535,64.0,80,0,1.01,1619274460
‘Ewa Beach,US,21.3156,-158.0072,71.31,68,1,5.75,1619274583
Inírida,CO,3.8653,-67.9239,76.08,95,97,2.71,1619274583
Saint Anthony,US,45.0205,-93.218,35.26,80,90,12.66,1619274583
Camapuã,BR,-19.5314,-54.0439,87.8,25,26,6.93,1619274583
Chicama,PE,-7.8447,-79.1469,62.6,94,90,9.22,1619274584
Pacific Grove,US,36.6177,-121.9166,48.65,90,100,2.19,1619274584
Oulainen,FI,64.2667,24.8,36.0,93,99,4.0,1619274584
Deputatsky,RU,69.3,139.9,-1.71,91,98,5.21,1619274585
Port-Cartier,CA,50.0334,-66.8654,44.65,65,20,9.22,1619274585
Port Hardy,CA,50.6996,-127.4199,45.3,100,90,2.1,1619274585
Imbituba,BR,-28.24,-48.6703,75.2,69,20,5.75,1619274585
Cabedelo,BR,-6.9811,-34.8339,84.2,79,75,10.36,1619274585
Toledo,ES,39.8333,-4.0,64.9,53,100,10.56,1619274585
La Rioja,ES,42.25,-2.5,69.53,40,0,16.11,1619274585
Yatou,CN,37.15,122.3833,50.81,75,0,7.18,1619274585
Araouane,ML,18.9048,-3.5265,105.12,6,0,5.12,1619274586
Phang Nga,TH,8.4509,98.5298,82.69,83,20,11.5,1619274448
Chu,KZ,43.5983,73.7614,57.0,48,100,10.0,1619274586
Balabac,PH,7.9868,117.0645,80.28,82,89,7.31,1619274586
Rawson,AR,-43.3002,-65.1023,55.8,59,0,4.34,1619274586
Arinos,BR,-15.9169,-46.1056,87.75,34,28,2.73,1619274586
Vila Franca do Campo,PT,37.7167,-25.4333,59.0,82,40,17.27,1619274586
Necochea,AR,-38.5473,-58.7368,64.99,70,0,11.01,1619274586
Tyukhtet,RU,56.5389,89.3011,33.53,92,100,1.54,1619274587
Bereket,TM,39.2446,55.5154,77.86,35,81,12.3,1619274587
Phibun Mangsahan,TH,15.2447,105.2291,92.39,62,85,3.44,1619274587
Hong Gai,VN,20.956,107.0946,82.4,89,75,9.22,1619274587
Gualeguay,AR,-33.1416,-59.3097,67.53,77,69,12.24,1619274588
